,0
0,"{'id': '1380157886316302354', 'text': ""RT @WBrettWilson: Saskatchewan's incoming electric vehicle tax sends 'wrong message,' advocates say - @GlobalNews\n\nWell advocates also say…""}"
1,"{'id': '1380157850647994368', 'text': 'FG Set To Commission First Electric-Vehicle Charging\xa0Station https://t.co/6x8dY58NL4'}"
2,"{'id': '1380157818095951878', 'text': 'RT @MarketCurrents: $FLT - FLEETCOR invests in Mina, a electric vehicle re-charging software company https://t.co/LjTNZJuXGo'}"
3,"{'id': '1380157794385559563', 'text': '$FLT - FLEETCOR invests in Mina, a electric vehicle re-charging software company https://t.co/LjTNZJuXGo'}"
4,"{'id': '1380157753310724103', 'text': 'RT @DeItaone: BIDEN INFRASTRUCTURE PLAN CALLS FOR $100 BILLION FOR NEW CONSUMER ELECTRIC VEHICLE REBATES --EMAIL TO CONGRESSIONAL STAFF SEE…'}"
5,"{'id': '1380157742938263554', 'text': 'EV commercial vehicle and bus newcomer @Arrival, will start trials of its first full electric light commercial with key customers this summer. \n\nRead more: https://t.co/iIDLSC52jL https://t.co/ztC5qAhxVo'}"
6,"{'id': '1380157708163223555', 'text': 'RT @Premafrimin: $PREM #PREM #Zulu\n𝐈𝐍𝐕𝐄𝐒𝐓𝐎𝐑𝐒 𝐅𝐋𝐎𝐂𝐊 𝐓𝐎 𝐋𝐈𝐓𝐇𝐈𝐔𝐌\nInterest in the industry is resurgent as electric-vehicle targets set by glob…'}"
7,"{'id': '1380157635249516560', 'text': 'Has anyone asked if you trade your gas vehicle in for an electric car you probably won’t get much for it because the dealer won’t be able to resell it. What happens if you run out of power on the road or there’s a power outage for week or so because of a storm? Your screwed.'}"
8,"{'id': '1380157622528135170', 'text': 'RT @Sokoto_Tracker: Nigeria launches its first solar-powered charging station in Sokoto for electric vehicle charging. The nation has an ab…'}"
9,"{'id': '1380157579721072642', 'text': 'RT @eOrganiser: Leading-edge technique to boost electric vehicle battery performance https://t.co/mweHfgLRqw via @eOrganiser'}"
10,"{'id': '1380157526474362885', 'text': 'Do you have any questions about #electriccars or how to charge them? 🚗\n\nIf you answered yes, then don’t worry! Check out this blog post we prepared earlier! 👍\n\nhttps://t.co/hH7SnYAByi https://t.co/ocfdBDeXhU'}"
11,"{'id': '1380157480622260232', 'text': 'Upcoming #webinar, April 20 @ 10:00 am - 11:00 pm (BST)\n\nOur Global Head of Presales, Jon Heathcote, will be discussing ""Next generation technologies for battery assembly in electric vehicle production "". Register now: https://t.co/dBWW97XTgV https://t.co/x8Ewckm7Ju'}"
